feature,count,missing,unique_values,variance,mean,min,max,constant,random_forest_importance,logistic_abs_mean_coefficient,logistic_coefficient_AVERAGE,logistic_coefficient_GOOD,logistic_coefficient_POOR
internal_link_count,14,0,14,5634.247252747253,85.64285714285714,19.0,280.0,False,0.1049471443579281,0.255354025854672,-0.07479244656006549,0.3830310387820078,-0.30823859222194266
total_link_count,14,0,13,7206.642857142859,103.78571428571429,20.0,326.0,False,0.10138105255815934,0.2542504567493265,-0.07811564138527634,0.3813756851239895,-0.3032600437387136
images_with_alt,14,0,12,542.8626373626373,18.357142857142858,1.0,78.0,False,0.06144294792895784,0.12518713793068775,-0.08846355857225197,0.18778070689603146,-0.09931714832377987
meta_description_word_count,14,0,10,213.3626373626374,16.857142857142858,0.0,55.0,False,0.05631819169674523,0.09394385201828519,0.03997835118791585,0.10093742683951194,-0.14091577802742775
external_link_count,14,0,13,376.79670329670324,15.214285714285714,0.0,57.0,False,0.04548213919805862,0.06386130752959719,-0.011228634919027727,0.0957919612943956,-0.08456332637536823
meta_description_length,14,0,13,8621.60989010989,113.07142857142857,0.0,340.0,False,0.04542311176993959,0.13864991806865723,0.15875890039768725,0.049215976705298654,-0.2079748771029858
title_length,14,0,13,619.2307692307693,51.0,14.0,91.0,False,0.04366506860483364,0.15335220912912917,0.170600705546939,0.059427608146754705,-0.23002831369369375
word_count,14,0,14,2562332.0934065934,1605.642857142857,220.0,5237.0,False,0.042942338989307154,0.0738960235638287,0.0032832804319248383,0.10756075491381802,-0.11084403534574323
unique_word_ratio,14,0,14,0.012508514974103926,0.4485168704116571,0.2890015600624025,0.7227272727272728,False,0.039729938676392414,0.21082501563736042,-0.17297727441396826,-0.1432602490420722,0.3162375234560407
unique_word_count,14,0,14,196383.45054945056,594.2857142857143,159.0,1634.0,False,0.037263641103583975,0.10583817367947086,0.09929754740995062,0.05945971310925552,-0.15875726051920644
alt_coverage_ratio,14,0,12,0.1304343296857529,0.6465572818417961,0.04,1.0,False,0.03663350251687273,0.052951806242565035,-0.02620518684940851,0.07942770936384756,-0.05322252251443903
external_unique_domain_count,14,0,11,151.18681318681323,9.571428571428571,0.0,39.0,False,0.03172486088552491,0.16107141909772685,0.24160712864659023,-0.1674168898589572,-0.07419023878763308
internal_link_ratio,14,0,14,0.018752466886126452,0.8193181701684503,0.59375,0.9844961240310076,False,0.031008797017129164,0.06570082257916275,0.05116279960066367,0.04738843426808046,-0.09855123386874409
title_word_count,14,0,8,15.23076923076923,8.0,3.0,17.0,False,0.030056438943546003,0.10071972123777505,0.15107958185666254,-0.026633836393672,-0.1244457454629906
heading_total_count,14,0,13,410.9505494505495,29.785714285714285,3.0,79.0,False,0.029254023518283226,0.10616366250916272,0.0014733818529532158,0.1577721119107907,-0.15924549376374428
cta_count,14,0,11,79.41208791208791,11.214285714285714,1.0,29.0,False,0.028442906201942997,0.07911504005811891,-0.07401559340341798,0.11867256008717836,-0.04465696668376037
h2_count,14,0,10,162.55494505494505,15.642857142857142,2.0,47.0,False,0.02811619019996609,0.1343760667147507,0.07436288911152615,0.12720121096059972,-0.2015641000721262
empty_alt_count,14,0,10,56.10989010989011,6.571428571428571,0.0,24.0,False,0.026377223022314888,0.056674646671033335,0.006728453949416217,-0.08501197000655011,0.07828351605713366
h3_count,14,0,10,187.19230769230768,10.5,0.0,41.0,False,0.0260584347856727,0.09529130508564819,-0.10960756196957554,0.1429369576284722,-0.03332939565889683
phone_count,14,0,5,6.708791208791208,1.6428571428571428,0.0,10.0,False,0.021996582027093165,0.34968408314171545,-0.33286203617914023,0.5245261247125732,-0.19166408853343306
character_count,14,0,14,99549784.40109889,10197.357142857143,1324.0,33585.0,False,0.021943202365190356,0.07655804045781973,0.020262873329718087,0.09457418735701134,-0.11483706068672976
image_count,14,0,12,549.4945054945056,26.571428571428573,6.0,82.0,False,0.018408677626232002,0.09689181980808571,-0.12405056801831946,0.14533772971212836,-0.021287161693809342
h4_count,14,0,5,5.412087912087913,1.2142857142857142,0.0,7.0,False,0.014586270885891957,0.3091586849594874,0.4637380274392312,-0.15185327102063556,-0.3118847564185953
images_without_alt,14,0,4,28.24725274725275,1.6428571428571428,0.0,20.0,False,0.014246740212521985,0.1541148585352491,-0.16880326260149037,-0.06236902520138326,0.23117228780287363
email_count,14,0,3,0.48901098901098905,0.7857142857142857,0.0,2.0,False,0.013992417939702904,0.258162972950732,-0.38724445942609786,0.2646761158864696,0.12256834353962852
meta_description_exists,14,0,2,0.13186813186813187,0.8571428571428571,0.0,1.0,False,0.01090119238689868,0.2681732655974987,0.36223885496731123,0.04002104342893676,-0.4022598983962481
h1_count,14,0,3,0.28571428571428564,1.1428571428571428,0.0,2.0,False,0.009421963481160573,0.2011757860581469,0.012775062287204436,-0.3017636790872203,0.288988616800016
h6_count,14,0,3,3.71978021978022,0.7857142857142857,0.0,7.0,False,0.009286355425875975,0.16386450929188212,-0.24579676393782324,0.1032390816108854,0.1425576823269377
images_missing_alt_attribute,14,0,4,28.24725274725275,1.6428571428571428,0.0,20.0,False,0.006665067833500366,0.1541148585352491,-0.16880326260149037,-0.06236902520138326,0.23117228780287363
robots_meta_exists,14,0,2,0.13186813186813187,0.8571428571428571,0.0,1.0,False,0.004066875930767216,0.186620711082387,-0.10121581489881595,0.2799310666235805,-0.17871525172476455
