feature,random_forest_importance,permutation_importance_mean,permutation_importance_std,mutual_information,unique_values,is_constant
images_with_alt,0.09746289574103105,0.0,0.0,0.15661856661856666,13,False
internal_link_count,0.0801500102679457,0.0,0.0,0.09802068302068312,15,False
meta_description_word_count,0.0712757981096175,0.0,0.0,0.15785381285381228,10,False
image_count,0.06034810878706116,0.0,0.0,0.2322246272246271,13,False
internal_link_ratio,0.05963069019025688,0.0,0.0,0.12880619380619351,15,False
meta_description_length,0.05500684340329738,0.0,0.0,0.19872923372923368,13,False
total_link_count,0.053047847675105536,0.0,0.0,0.028232323232323164,14,False
alt_coverage_ratio,0.04229573586107765,0.0,0.0,0.008459873459873535,13,False
heading_total_count,0.03980383914124039,0.0,0.0,0.05550745550745573,14,False
external_unique_domain_count,0.03716878194172861,0.0,0.0,0.09075905575905585,11,False
title_word_count,0.03536231338484982,0.0,0.0,0.0,9,False
external_link_count,0.032818185541125734,0.0,0.0,0.0,13,False
cta_count,0.03196801219911453,0.0,0.0,0.0,12,False
h3_count,0.031496584308180316,0.0,0.0,0.0,10,False
h2_count,0.03045926703797427,0.0,0.0,0.027359307359307028,11,False
empty_alt_count,0.02973155197103059,0.0,0.0,0.0,10,False
unique_word_ratio,0.02876170736010287,0.0,0.0,0.0,15,False
unique_word_count,0.027473560856633654,0.0,0.0,0.0,15,False
phone_count,0.024599326777866113,0.0,0.0,0.16207163207163222,5,False
word_count,0.020376842447843047,0.0,0.0,0.0,15,False
character_count,0.01740418062732651,0.0,0.0,0.0,15,False
title_length,0.01456384667661194,0.0,0.0,0.0,14,False
h4_count,0.013176897115903951,0.0,0.0,0.0,5,False
h6_count,0.010721882339646703,0.0,0.0,0.0,3,False
canonical_exists,0.009873431779656609,0.0,0.0,0.1683372448911333,2,False
meta_description_exists,0.008283574385472586,0.0,0.0,0.09584071765524715,2,False
h1_count,0.007975793392987884,0.0,0.0,0.7117636067636066,3,False
email_count,0.006877741625636968,0.0,0.0,0.0,3,False
images_without_alt,0.006802226083135631,0.0,0.0,0.0,4,False
images_missing_alt_attribute,0.005506999230924854,0.0,0.0,0.0,4,False
robots_meta_exists,0.004129765019621235,0.0,0.0,0.04564917583496764,2,False
nofollow_link_count,0.0034901551585478675,0.0,0.0,0.0,4,False
h5_count,0.0019556035614444896,0.0,0.0,0.0,3,False
title_exists,0.0,0.0,0.0,0.0,1,True
ugc_link_count,0.0,0.0,0.0,0.15422225922225974,1,True
sponsored_link_count,0.0,0.0,0.0,0.08251470751470724,1,True
schema_org_count,0.0,0.0,0.0,0.0,1,True
jsonld_count,0.0,0.0,0.0,0.0,1,True
lang_exists,0.0,0.0,0.0,0.0,1,True
viewport_exists,0.0,0.0,0.0,0.0,1,True
