crawl_id,page_id,crawl_timestamp,content_hash,calibration_group,crawl_quality,html_size_bytes,url,domain,status_code,response_time_ms,redirect_count,internal_link_ratio,unique_word_count,images_without_alt,h5_count,h4_count,internal_link_count,external_link_count,word_count,title_length,alt_coverage_ratio,h1_count,title_word_count,image_count,h2_count,images_missing_alt_attribute,meta_description_word_count,empty_alt_count,images_with_alt,heading_total_count,meta_description_length,h3_count,unique_word_ratio,title_exists,ugc_link_count,h6_count,total_link_count,character_count,nofollow_link_count,meta_description_exists,sponsored_link_count,title_label,meta_label,headings_label,content_label,images_label,links_label,final_label,confidence,vote_count,ambiguous,training_eligible
crawl_20260821150747_449005,c8c5f59fd0c4204f,2026-08-21T15:07:47.448962+00:00,aeb092f6bc42e098cfdb6e8d35199c6f772c59e71dc1ef6df8b16aab9afefb2b,known_edited,NORMAL,100112,https://essence-resilience.coach/,essence-resilience.coach,200,2151.43,0,0.9130434782608695,449,5,0,0,42,4,922,78,0.375,1,11,8,12,0,16,5,3,16,141,3,0.48698481561822127,True,0,0,46,5463,0,True,0,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,AVERAGE,ABSTAIN,ABSTAIN,1.0,1,True,False
crawl_20260821150749_708064,7abf88539eb352b9,2026-08-21T15:07:49.708037+00:00,1ac197f86a2d6d86ef2c129f8ead8be8a3470a936833976f50d6dd21192068f5,known_edited,NORMAL,412648,https://jespomi.com/,jespomi.com,200,5974.09,0,0.9148936170212766,300,0,0,7,86,4,588,17,1.0,1,3,23,9,0,2,0,23,30,13,13,0.5102040816326531,True,0,0,94,3909,0,True,0,POOR,POOR,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,POOR,1.0,2,False,False
crawl_20260821150755_832967,1e8705bd153e0983,2026-08-21T15:07:55.832942+00:00,29dd6d78b533eb16a7dbbf33fd0324bffd200f26352882682c09b0960afbcf52,known_edited,NORMAL,142996,https://trafiq.fr/,trafiq.fr,200,86.08,0,0.7454545454545455,346,0,0,0,41,12,655,70,1.0,1,11,10,7,0,0,0,10,20,0,12,0.5282442748091603,True,0,0,55,4446,0,False,0,ABSTAIN,POOR,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,1.0,1,True,False
crawl_20260821150756_004166,fe380355d18d93ad,2026-08-21T15:07:56.004140+00:00,38c1ca12c444049e4be6ee5705121962c312a569a9c19a9602374247b113592b,known_edited,NORMAL,190917,https://nkongsambapeguanto.ltd/,nkongsambapeguanto.ltd,200,121.82,0,0.6363636363636364,396,24,6,0,28,13,844,29,0.04,2,4,25,16,0,0,24,1,34,0,10,0.46919431279620855,True,0,0,44,5581,0,False,0,ABSTAIN,POOR,AVERAGE,ABSTAIN,POOR,ABSTAIN,POOR,0.6667,3,False,False
crawl_20260821150756_234695,05eacfbd8fe37901,2026-08-21T15:07:56.234669+00:00,60c6ec61a2aba260769e60bb3d80b19e5ee39a5fd90567dba40825d82e39b10e,known_edited,NORMAL,280460,https://depannage-rideaux-metalliques.fr/,depannage-rideaux-metalliques.fr,200,2050.16,0,0.8435374149659864,521,1,0,0,124,10,1329,63,0.9230769230769231,1,8,13,9,0,24,1,12,18,147,6,0.39202407825432656,True,0,2,147,9211,0,True,0,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,0.0,0,False,False
crawl_20260821150758_425606,a19ea853b117d2b3,2026-08-21T15:07:58.425585+00:00,a32982a978984489496502cd19c1738f140f1697fd1db523047f33465e2733f5,known_edited,NORMAL,169257,https://cabinet-3c.com/,cabinet-3c.com,200,2345.43,0,0.9844961240310077,580,0,0,0,127,0,1493,79,1.0,1,11,6,11,0,20,0,6,15,160,3,0.3884795713328868,True,0,0,129,10069,0,True,0,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,0.0,0,False,False
crawl_20260821150800_926981,b3530bf019393c8c,2026-08-21T15:08:00.926952+00:00,8eee346183e0bd6acfd2573d8c3b46cccdbd3050fb3a246e2139cbc769d1edb3,known_edited,NORMAL,177169,https://if-ca.fr/,if-ca.fr,200,676.52,0,0.7948717948717948,597,12,0,6,31,5,1291,14,0.2,1,3,15,15,0,55,12,3,33,340,11,0.4624322230828815,True,0,0,39,8188,0,True,0,POOR,AVERAGE,ABSTAIN,ABSTAIN,POOR,ABSTAIN,POOR,0.6667,3,False,False
crawl_20260821150801_777216,ceda02553633033c,2026-08-21T15:08:01.777167+00:00,920be79e92b3ce82b11dfffb8d098ecb4e1501df12711d822371cd2dd0a4abca,poor_candidate,NORMAL,154497,https://ada13.org/,ada13.org,200,1034.58,0,0.98,144,1,0,0,98,2,268,46,0.8,1,10,5,0,0,0,1,4,2,0,1,0.5373134328358209,True,0,0,100,1833,0,False,0,ABSTAIN,POOR,POOR,POOR,ABSTAIN,ABSTAIN,POOR,1.0,3,False,True
crawl_20260821150802_861501,4b1e290b60ab4f49,2026-08-21T15:08:02.861478+00:00,e2d5a29fc7d19f245bcdcbc2906fc9edcbf19657fa6dc13027995d70dc69739f,poor_candidate,NORMAL,126433,https://toulemondencuisine.wordpress.com/,toulemondencuisine.wordpress.com,200,64.86,0,0.59375,312,6,0,0,76,47,714,91,0.6,2,17,15,20,0,10,6,9,22,62,0,0.4369747899159664,True,0,0,128,4309,2,True,0,ABSTAIN,POOR,AVERAGE,ABSTAIN,AVERAGE,AVERAGE,AVERAGE,0.75,4,False,False
crawl_20260821150802_992536,5f96cef86c9446d5,2026-08-21T15:08:02.992518+00:00,14230b1e58b1b22ec8cc8b1e34fa5a28acf24a7cc87840cb88b0eeb495559609,poor_candidate,NORMAL,186331,https://jeanleptitplombier.com/,jeanleptitplombier.com,200,1254.39,0,0.95,172,2,0,1,19,1,314,32,0.7777777777777778,2,6,9,2,0,24,2,7,10,151,5,0.5477707006369427,True,0,0,20,2041,1,True,0,ABSTAIN,ABSTAIN,AVERAGE,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,1.0,1,True,False
