crawl_id,page_id,crawl_timestamp,content_hash,url,domain,calibration_group,crawl_quality,html_size_bytes,status_code,response_time_ms,redirect_count,title_exists,title_length,title_word_count,meta_description_exists,meta_description_length,meta_description_word_count,h1_count,h2_count,h3_count,h4_count,h5_count,h6_count,heading_total_count,word_count,character_count,unique_word_count,unique_word_ratio,image_count,images_with_alt,images_without_alt,images_missing_alt_attribute,empty_alt_count,alt_coverage_ratio,total_link_count,internal_link_count,external_link_count,nofollow_link_count,sponsored_link_count,ugc_link_count,internal_link_ratio,human_review_label,review_notes,reviewed_at,reviewer,weak_label,weak_confidence,weak_vote_count,weak_ambiguous,weak_training_eligible
crawl_20260821150747_449005,c8c5f59fd0c4204f,2026-08-21T15:07:47.448962+00:00,aeb092f6bc42e098cfdb6e8d35199c6f772c59e71dc1ef6df8b16aab9afefb2b,https://essence-resilience.coach/,essence-resilience.coach,known_edited,NORMAL,100112,200,2151.43,0,True,78,11,True,141,16,1,12,3,0,0,0,16,922,5463,449,0.48698481561822127,8,3,5,0,5,0.375,46,42,4,0,0,0,0.9130434782608695,AVERAGE,"le site est bien structuré, les balises Hn, la meta description le maillage interne et le nombre de mots par page est accèds conséquent, il y'a aussi accès d'articles sur le domaine du site mais le maillage externe n'est pas accès fort, les alt et noms d'images ne sont pas accès optimsés, manque de google avis et d'avis verifiable de vrais clients, manque d'arguments d'autorité certification, aggrèment ...",2026-08-24T21:02:00+02:00,moctar,ABSTAIN,1.0,1,True,False
crawl_20260821150749_708064,7abf88539eb352b9,2026-08-21T15:07:49.708037+00:00,1ac197f86a2d6d86ef2c129f8ead8be8a3470a936833976f50d6dd21192068f5,https://jespomi.com/,jespomi.com,known_edited,NORMAL,412648,200,5974.09,0,True,17,3,True,13,2,1,9,13,7,0,0,30,588,3909,300,0.5102040816326531,23,23,0,0,0,1.0,94,86,4,0,0,0,0.9148936170212766,AVERAGE,"le site presente un bon design premium avec des éléments technique de base pour le seo respectés notamment le titre, meta descrition, robots.txt, maillage interne... mais pas accès de maillage externe, et le nombre de Hn par page a verifié, les avis clients sur les pages produits sont presque absents, les images alt des produits ne sont pas optimisées, pas accès d'artcles pour un site pareil ou la concurence est forte",2026-08-24T21:02:00+02:00,moctar,POOR,1.0,2,False,False
crawl_20260821150755_832967,1e8705bd153e0983,2026-08-21T15:07:55.832942+00:00,29dd6d78b533eb16a7dbbf33fd0324bffd200f26352882682c09b0960afbcf52,https://trafiq.fr/,trafiq.fr,known_edited,NORMAL,142996,200,86.08,0,True,70,11,False,0,0,1,7,12,0,0,0,20,655,4446,346,0.5282442748091603,10,10,0,0,0,1.0,55,41,12,0,0,0,0.7454545454545455,POOR,"le site est mal structuré et accès générique, les psections sont incomplétes avec manque de vrais images de la team et des témoins, Certains page ont l'air de ne pas été terminées, les balises Hn sont mal utilisées, la meta description est trop courte, le maillage interne est faible, le nombre de mots par page est insuffisant, il y'a peu d'articles sur le domaine du site et le maillage externe n'est pas accès fort, les alt et noms d'images ne sont pas accès optimsés, manque de google avis et d'avis verifiable de vrais clients, manque d'arguments d'autorité (certification, aggrèment ...",2026-08-24T21:02:00+02:00,moctar,ABSTAIN,1.0,1,True,False
crawl_20260821150756_004166,fe380355d18d93ad,2026-08-21T15:07:56.004140+00:00,38c1ca12c444049e4be6ee5705121962c312a569a9c19a9602374247b113592b,https://nkongsambapeguanto.ltd/,nkongsambapeguanto.ltd,known_edited,NORMAL,190917,200,121.82,0,True,29,4,False,0,0,2,16,10,0,6,0,34,844,5581,396,0.46919431279620855,25,1,24,0,24,0.04,44,28,13,0,0,0,0.6363636363636364,POOR,"le site est mal structuré et accès générique, certaines sections manquent d'images ou de textes qui n'apparaissent pas, pas accès de call to action, le titre et la meta description n'est pas optimisée, les images ne sont pas professionnelles parfois flou, il y a des bouts de codes qui apparaissent sur certaines pages, il manque aussi de localisation précise, Certains page ont l'air de ne pas être terminées, les balises Hn sont mal utilisées, la meta description est trop courte, le maillage interne est faible, le nombre de mots par page est insuffisant, il y'a peu d'articles sur le domaine du site et le maillage externe n'est pas accès fort, les alt et noms d'images ne sont pas accès optimsés, manque de google avis et d'avis verifiable de vrais clients, manque d'arguments d'autorité (certification, aggrèment ...",2026-08-24T21:02:00+02:00,moctar,POOR,0.6667,3,False,False
crawl_20260821150756_234695,05eacfbd8fe37901,2026-08-21T15:07:56.234669+00:00,60c6ec61a2aba260769e60bb3d80b19e5ee39a5fd90567dba40825d82e39b10e,https://depannage-rideaux-metalliques.fr/,depannage-rideaux-metalliques.fr,known_edited,NORMAL,280460,200,2050.16,0,True,63,8,True,147,24,1,9,6,0,0,2,18,1329,9211,521,0.39202407825432656,13,12,1,0,1,0.9230769230769231,147,124,10,0,0,0,0.8435374149659864,GOOD,"site optimisé pour le seo, le site est bien classé avec les mots clés pertinents sur google dans sa zone géographique, la meta description, les balises Hn, le maillage interne et le nombre de mots par page sont bien configurés, les backlinks sont bien établis meme si c'est pas accès selon la concurence, pas accés d'articles sur le domaine à intervalle de temps régulier, images alt a optimiser",2026-08-24T21:02:00+02:00,moctar,ABSTAIN,0.0,0,False,False
crawl_20260821150758_425606,a19ea853b117d2b3,2026-08-21T15:07:58.425585+00:00,a32982a978984489496502cd19c1738f140f1697fd1db523047f33465e2733f5,https://cabinet-3c.com/,cabinet-3c.com,known_edited,NORMAL,169257,200,2345.43,0,True,79,11,True,160,20,1,11,3,0,0,0,15,1493,10069,580,0.3884795713328868,6,6,0,0,0,1.0,129,127,0,0,0,0,0.9844961240310077,AVERAGE,"le site est moyennement optimisé, les balises Hn sont bien utilisées, la meta description est suffisamment descriptive, le maillage interne est satisfaisant, le nombre de mots par page est approprié, il y'a pas un bon nombre d'articles sur le domaine mais à intervalle de temps irrégulier et le maillage externe est assez faible, les alt et noms d'images ne sont pas bien optimisés, il y'a des google avis et des avis verifiable de vrais clients mais en petit nombre, il y'a des arguments d'autorité (certification, aggrèment ..., pas accès de backlinks et n'est pas bien classés par google dans les résultats de recherche avec les mots clés pertinents du domaine",2026-08-24T21:02:00+02:00,moctar,ABSTAIN,0.0,0,False,False
crawl_20260821150800_926981,b3530bf019393c8c,2026-08-21T15:08:00.926952+00:00,8eee346183e0bd6acfd2573d8c3b46cccdbd3050fb3a246e2139cbc769d1edb3,https://if-ca.fr/,if-ca.fr,known_edited,NORMAL,177169,200,676.52,0,True,14,3,True,340,55,1,15,11,6,0,0,33,1291,8188,597,0.4624322230828815,15,3,12,0,12,0.2,39,31,5,0,0,0,0.7948717948717948,AVERAGE,"le site est assez bien structuré, les balises Hn, la meta description le maillage interne et le nombre de mots par page est accèds conséquent, il n y'a pas aussi d'articles sur le domaine du site mais le maillage externe n'est pas assez fort, les alt et noms d'images ne sont pas assez optimsés, manque de google avis pertinents et d'avis verifiable de vrais clients, presence d'arguments d'autorité (certification, aggrèment , qualiopi, qualianor ..., call to action bien positionné, site assez bien positionné par google sur les résultats de recherche avec les bons mots clés",2026-08-24T21:02:00+02:00,moctar,POOR,0.6667,3,False,False
crawl_20260821150802_861501,4b1e290b60ab4f49,2026-08-21T15:08:02.861478+00:00,e2d5a29fc7d19f245bcdcbc2906fc9edcbf19657fa6dc13027995d70dc69739f,https://toulemondencuisine.wordpress.com/,toulemondencuisine.wordpress.com,poor_candidate,NORMAL,126433,200,64.86,0,True,91,17,True,62,10,2,20,0,0,0,0,22,714,4309,312,0.4369747899159664,15,9,6,0,6,0.6,128,76,47,2,0,0,0.59375,AVERAGE,"le site est en sous domaine, les articles qui sont proposés datent de plusieurs années, la stucture est déteriorée et anciens un peu trop générique, par contre il y'a des éléments de contenu intéressant et des commentaires et avis conséquents",2026-08-24T21:02:00+02:00,moctar,AVERAGE,0.75,4,False,False
crawl_20260821150802_992536,5f96cef86c9446d5,2026-08-21T15:08:02.992518+00:00,14230b1e58b1b22ec8cc8b1e34fa5a28acf24a7cc87840cb88b0eeb495559609,https://jeanleptitplombier.com/,jeanleptitplombier.com,poor_candidate,NORMAL,186331,200,1254.39,0,True,32,6,True,151,24,2,2,5,1,0,0,10,314,2041,172,0.5477707006369427,9,7,2,0,2,0.7777777777777778,20,19,1,1,0,0,0.95,POOR," le site est plutot bien structuré, simple et efficace mais un peu trop minimaliste, manque de contenu original et de call to action positionné, nombre de mots sur le landing page est insuffisant, avis manquants, preuves sociales, références et arguments d'autorité manquants, maillage interne et externe à améliorer, pas d'articles sur le domaine, images réels du professionnel présent mais a diversifier et optimiser sur le terrain, adresse mail non professionnelle",2026-08-24T21:02:00+02:00,moctar,ABSTAIN,1.0,1,True,False
crawl_20260821150804_313135,71c4befd228bbffb,2026-08-21T15:08:04.313110+00:00,676f5f2f71aea799415c0cc8fd66b1d6cddf0e84ec684cb9b75ed0360c112842,https://a-un-clic-de-vous.fr/site-vitrine/trelaze/49800,a-un-clic-de-vous.fr,poor_candidate,NORMAL,175619,200,1136.61,0,True,44,7,True,10,2,1,20,1,2,0,7,31,1874,11524,648,0.3457844183564568,34,2,32,20,12,0.058823529411764705,37,35,2,0,0,0,0.9459459459459459,POOR,"le site n'est pas assez optimisé seo et n'apparait pas dans les résultats de recherche avec les mots clés pertinant, la meta description et le titre n'est pas bien optimisé, pas d'avis vérifiable, il y'a des liens cassé 404 sur le site, pas d'articles et site un peu trop minimaliste selon le domaine",2026-08-24T21:02:00+02:00,moctar,POOR,1.0,2,False,False
crawl_20260821150805_545880,344d09fda0421a3b,2026-08-21T15:08:05.545859+00:00,497bc5e044b516844bb7bcc3ed726952cd11e45cfa1864ba1118ef082d46415c,https://www.arret-net.fr/,www.arret-net.fr,poor_candidate,NORMAL,179534,200,232.33,1,True,57,9,True,153,24,1,11,41,0,0,0,53,5237,33585,1635,0.3122016421615429,55,54,1,1,0,0.9818181818181818,149,90,57,0,0,0,0.6040268456375839,AVERAGE,"le site est vieux, pas responsive et ne donne pas envie de commander le service selon le domaine, mais le site est assez fourni avec des call to action pas mal établi et avis google insérés manuellement, les images ne sont pas assez parlant, les balises hn et la metadescription pas bien optimisées",2026-08-24T21:02:00+02:00,moctar,ABSTAIN,0.0,0,False,False
crawl_20260821150806_030292,5a83d553c1953bee,2026-08-21T15:08:06.030220+00:00,5495562ebd74f9b54a99b26236cc639ba8efdc741265f279c2e8aacce1f1d033,https://www.lageneraledetheatre.com/,www.lageneraledetheatre.com,intermediate_candidate,NORMAL,1052590,200,329.94,1,True,22,4,True,90,13,1,2,0,0,0,0,3,220,1324,159,0.7227272727272728,15,6,9,0,9,0.4,41,31,3,0,0,0,0.7560975609756098,POOR,"le site n'est pas assez informatif et descriptif à l'acceuil, le titre, la metadescription, maillage interne, externe très faible, visuellement pas assez attrayant et captivant, je donnerais une note de 10/100",2026-08-24T21:02:00+02:00,moctar,ABSTAIN,0.5,2,True,False
crawl_20260821150806_426684,c03d781fcd9467ee,2026-08-21T15:08:06.426661+00:00,075e5505d4f59deec8ead21a81867684cfd288946d3fb25cc3e46d56aaa89739,https://l-artisanat-a-la-francaise.fr/,l-artisanat-a-la-francaise.fr,intermediate_candidate,NORMAL,389260,200,1358.14,0,True,57,9,True,154,21,1,47,1,1,1,2,53,1877,11958,727,0.3873201917954182,62,42,20,2,18,0.6774193548387096,202,193,9,3,0,0,0.9554455445544554,AVERAGE,"le site est moderne et dynamique, bien structuré avec un menu bien fourni et optimisé, presence d'avis google verifiable, images professionnelles et bonne description, manque d'avis et de commentaires sur les pages produits, bon maillage interne mais pas assez de maillage externe",2026-08-24T21:02:00+02:00,moctar,ABSTAIN,1.0,1,True,False
crawl_20260821150807_884117,7d20958e98ee023b,2026-08-21T15:08:07.884098+00:00,dc296947786280c996cfdce0762b3511d71f6b7432a364f99c5fd0ab7cad2c10,https://www.abondance.com/,www.abondance.com,rich_candidate,NORMAL,665239,200,888.8,1,True,61,9,True,162,25,0,38,41,0,0,0,79,5106,31120,1490,0.2918135526831179,82,78,4,0,4,0.9512195121951219,326,280,46,0,0,0,0.8588957055214724,GOOD,"le site est bien fourni et réguliérement animé avec des balises hn, metadescription, maillage interne et externe, call to action, popup, image alt ... bien établis je noterais 90/100",2026-08-24T21:02:00+02:00,moctar,ABSTAIN,1.0,1,True,False
