crawl_id,page_id,crawl_timestamp,content_hash,url,domain,calibration_group,crawl_quality,html_size_bytes,status_code,response_time_ms,redirect_count,title_exists,title_length,title_word_count,meta_description_exists,meta_description_length,meta_description_word_count,h1_count,h2_count,h3_count,h4_count,h5_count,h6_count,heading_total_count,word_count,character_count,unique_word_count,unique_word_ratio,image_count,images_with_alt,images_without_alt,images_missing_alt_attribute,empty_alt_count,alt_coverage_ratio,total_link_count,internal_link_count,external_link_count,nofollow_link_count,sponsored_link_count,ugc_link_count,internal_link_ratio,canonical_exists,robots_meta_exists,viewport_exists,lang_exists,jsonld_count,schema_org_count,cta_count,phone_count,email_count,external_unique_domain_count,human_review_label,review_notes,reviewed_at,reviewer
crawl_20260826155933_263693,c8c5f59fd0c4204f,2026-08-26T15:59:33.263679+00:00,390bf755885f99764b100896e2d983f1d209e38a94e64275ec923b9e117c7a50,https://essence-resilience.coach/,essence-resilience.coach,known_edited,NORMAL,100112,200,2060.92,0,True,78,11,True,141,16,1,12,3,0,0,0,16,922,5463,449,0.4869848156182212,8,3,0,0,5,0.375,46,42,4,0,0,0,0.9130434782608696,True,True,True,True,0,0,5,1,1,3,AVERAGE,"le site est bien structuré, les balises Hn, la meta description le maillage interne et le nombre de mots par page est accèds conséquent, il y'a aussi accès d'articles sur le domaine du site mais le maillage externe n'est pas accès fort, les alt et noms d'images ne sont pas accès optimsés, manque de google avis et d'avis verifiable de vrais clients, manque d'arguments d'autorité certification, aggrèment ...",2026-08-24T21:02:00+02:00,moctar
crawl_20260826155935_448272,7abf88539eb352b9,2026-08-26T15:59:35.448258+00:00,8e5b396bbc373044e1df6f59e334ea59891a664a995397b1a7490eed0e1a3f4a,https://jespomi.com/,jespomi.com,known_edited,NORMAL,412652,200,7944.49,0,True,17,3,True,13,2,1,9,13,7,0,0,30,588,3909,300,0.5102040816326531,23,23,0,0,0,1.0,94,86,4,0,0,0,0.9148936170212766,True,True,True,True,0,0,4,2,1,4,AVERAGE,"le site presente un bon design premium avec des éléments technique de base pour le seo respectés notamment le titre, meta descrition, robots.txt, maillage interne... mais pas accès de maillage externe, et le nombre de Hn par page a verifié, les avis clients sur les pages produits sont presque absents, les images alt des produits ne sont pas optimisées, pas accès d'artcles pour un site pareil ou la concurence est forte",2026-08-24T21:02:00+02:00,moctar
crawl_20260826155943_473158,1e8705bd153e0983,2026-08-26T15:59:43.473142+00:00,29dd6d78b533eb16a7dbbf33fd0324bffd200f26352882682c09b0960afbcf52,https://trafiq.fr/,trafiq.fr,known_edited,NORMAL,142996,200,98.34,0,True,70,11,False,0,0,1,7,12,0,0,0,20,655,4446,346,0.5282442748091603,10,10,0,0,0,1.0,55,41,12,0,0,0,0.7454545454545455,True,True,True,True,0,0,9,1,1,12,POOR,"le site est mal structuré et accès générique, les psections sont incomplétes avec manque de vrais images de la team et des témoins, Certains page ont l'air de ne pas été terminées, les balises Hn sont mal utilisées, la meta description est trop courte, le maillage interne est faible, le nombre de mots par page est insuffisant, il y'a peu d'articles sur le domaine du site et le maillage externe n'est pas accès fort, les alt et noms d'images ne sont pas accès optimsés, manque de google avis et d'avis verifiable de vrais clients, manque d'arguments d'autorité (certification, aggrèment ...",2026-08-24T21:02:00+02:00,moctar
crawl_20260826155943_619882,fe380355d18d93ad,2026-08-26T15:59:43.619867+00:00,e47c709037aa49cff27afdf21681ef61759cd03ac923a5a9ea3ec987580e501e,https://nkongsambapeguanto.ltd/,nkongsambapeguanto.ltd,known_edited,NORMAL,190916,200,96.57,0,True,29,4,False,0,0,2,16,10,0,6,0,34,844,5581,396,0.4691943127962085,25,1,0,0,24,0.04,44,28,13,0,0,0,0.6363636363636364,True,True,True,True,0,0,6,0,1,5,POOR,"le site est mal structuré et accès générique, certaines sections manquent d'images ou de textes qui n'apparaissent pas, pas accès de call to action, le titre et la meta description n'est pas optimisée, les images ne sont pas professionnelles parfois flou, il y a des bouts de codes qui apparaissent sur certaines pages, il manque aussi de localisation précise, Certains page ont l'air de ne pas être terminées, les balises Hn sont mal utilisées, la meta description est trop courte, le maillage interne est faible, le nombre de mots par page est insuffisant, il y'a peu d'articles sur le domaine du site et le maillage externe n'est pas accès fort, les alt et noms d'images ne sont pas accès optimsés, manque de google avis et d'avis verifiable de vrais clients, manque d'arguments d'autorité (certification, aggrèment ...",2026-08-24T21:02:00+02:00,moctar
crawl_20260826155943_786283,05eacfbd8fe37901,2026-08-26T15:59:43.786266+00:00,02674f359495405022e9496a43bece0d9163b1421352352d809fdedc5747123a,https://depannage-rideaux-metalliques.fr/,depannage-rideaux-metalliques.fr,known_edited,NORMAL,281051,200,2078.73,0,True,63,8,True,147,24,1,9,6,0,0,2,18,1329,9211,521,0.3920240782543265,13,12,0,0,1,0.9230769230769232,147,124,10,0,0,0,0.8435374149659864,True,True,True,True,0,0,28,10,2,7,GOOD,"site optimisé pour le seo, le site est bien classé avec les mots clés pertinents sur google dans sa zone géographique, la meta description, les balises Hn, le maillage interne et le nombre de mots par page sont bien configurés, les backlinks sont bien établis meme si c'est pas accès selon la concurence, pas accés d'articles sur le domaine à intervalle de temps régulier, images alt a optimiser",2026-08-24T21:02:00+02:00,moctar
crawl_20260826155946_055892,a19ea853b117d2b3,2026-08-26T15:59:46.055870+00:00,92c3118e37cc17b3417c115d941cd3564e02f78873f1dbb91556f08a14641049,https://cabinet-3c.com/,cabinet-3c.com,known_edited,NORMAL,169257,200,1701.31,0,True,79,11,True,160,20,1,11,3,0,0,0,15,1493,10069,580,0.3884795713328868,6,6,0,0,0,1.0,129,127,0,0,0,0,0.9844961240310076,True,True,True,True,0,0,16,1,1,0,AVERAGE,"le site est moyennement optimisé, les balises Hn sont bien utilisées, la meta description est suffisamment descriptive, le maillage interne est satisfaisant, le nombre de mots par page est approprié, il y'a pas un bon nombre d'articles sur le domaine mais à intervalle de temps irrégulier et le maillage externe est assez faible, les alt et noms d'images ne sont pas bien optimisés, il y'a des google avis et des avis verifiable de vrais clients mais en petit nombre, il y'a des arguments d'autorité (certification, aggrèment ..., pas accès de backlinks et n'est pas bien classés par google dans les résultats de recherche avec les mots clés pertinents du domaine",2026-08-24T21:02:00+02:00,moctar
crawl_20260826155947_813753,b3530bf019393c8c,2026-08-26T15:59:47.813736+00:00,2549ee4f50cf859583ea3b954f3136a0bafe19c8a62be4ccfadc36e1e667f539,https://if-ca.fr/,if-ca.fr,known_edited,NORMAL,177386,200,726.25,0,True,14,3,True,340,55,1,15,11,6,0,0,33,1291,8188,597,0.4624322230828815,15,3,0,0,12,0.2,39,31,5,0,0,0,0.7948717948717948,True,True,True,True,0,0,17,2,1,5,AVERAGE,"le site est assez bien structuré, les balises Hn, la meta description le maillage interne et le nombre de mots par page est accèds conséquent, il n y'a pas aussi d'articles sur le domaine du site mais le maillage externe n'est pas assez fort, les alt et noms d'images ne sont pas assez optimsés, manque de google avis pertinents et d'avis verifiable de vrais clients, presence d'arguments d'autorité (certification, aggrèment , qualiopi, qualianor ..., call to action bien positionné, site assez bien positionné par google sur les résultats de recherche avec les bons mots clés",2026-08-24T21:02:00+02:00,moctar
crawl_20260826155949_272585,4b1e290b60ab4f49,2026-08-26T15:59:49.272567+00:00,985d2723547074772ada816541c67a0678160cb6f634bacfbc63e8bf7ebbf9e4,https://toulemondencuisine.wordpress.com/,toulemondencuisine.wordpress.com,poor_candidate,NORMAL,126474,200,50.43,0,True,91,17,True,62,10,2,20,0,0,0,0,22,707,4276,309,0.437057991513437,15,9,0,0,6,0.6,128,76,47,2,0,0,0.59375,False,True,True,True,0,0,1,0,0,36,AVERAGE,"le site est en sous domaine, les articles qui sont proposés datent de plusieurs années, la stucture est déteriorée et anciens un peu trop générique, par contre il y'a des éléments de contenu intéressant et des commentaires et avis conséquents",2026-08-24T21:02:00+02:00,moctar
crawl_20260826155949_371928,5f96cef86c9446d5,2026-08-26T15:59:49.371913+00:00,c2a6d1646e586e049a2e2aac8445739cc7fe56d13a4f97a3a70a298450921b6c,https://jeanleptitplombier.com/,jeanleptitplombier.com,poor_candidate,NORMAL,186331,200,1162.61,0,True,32,6,True,151,24,2,2,5,1,0,0,10,314,2041,172,0.5477707006369427,9,7,0,0,2,0.7777777777777778,20,19,1,1,0,0,0.95,True,True,True,True,0,0,11,3,2,1,POOR," le site est plutot bien structuré, simple et efficace mais un peu trop minimaliste, manque de contenu original et de call to action positionné, nombre de mots sur le landing page est insuffisant, avis manquants, preuves sociales, références et arguments d'autorité manquants, maillage interne et externe à améliorer, pas d'articles sur le domaine, images réels du professionnel présent mais a diversifier et optimiser sur le terrain, adresse mail non professionnelle",2026-08-24T21:02:00+02:00,moctar
crawl_20260826155950_570868,71c4befd228bbffb,2026-08-26T15:59:50.570847+00:00,7fb26b6a3908200c9378ccd49d8f10dc7aafac815d3cfafcc0dad71f6c5829b1,https://a-un-clic-de-vous.fr/site-vitrine/trelaze/49800,a-un-clic-de-vous.fr,poor_candidate,NORMAL,175619,200,1023.38,0,True,44,7,True,10,2,1,20,1,2,0,7,31,1874,11524,648,0.3457844183564568,34,2,20,20,12,0.0588235294117647,37,35,2,0,0,0,0.945945945945946,False,True,True,True,0,0,15,0,0,2,POOR,"le site n'est pas assez optimisé seo et n'apparait pas dans les résultats de recherche avec les mots clés pertinant, la meta description et le titre n'est pas bien optimisé, pas d'avis vérifiable, il y'a des liens cassé 404 sur le site, pas d'articles et site un peu trop minimaliste selon le domaine",2026-08-24T21:02:00+02:00,moctar
crawl_20260826155951_672151,344d09fda0421a3b,2026-08-26T15:59:51.672129+00:00,04ca56c7648ca45e682674d3663a88d9a2a1e7f32b49239c595e671c87d3b9d4,https://www.arret-net.fr/,www.arret-net.fr,poor_candidate,NORMAL,179535,200,231.65,1,True,57,9,True,153,24,1,11,41,0,0,0,53,5237,33585,1634,0.3120106931449303,55,54,1,1,0,0.9818181818181818,149,90,57,0,0,0,0.6040268456375839,True,False,True,True,0,0,29,2,0,39,AVERAGE,"le site est vieux, pas responsive et ne donne pas envie de commander le service selon le domaine, mais le site est assez fourni avec des call to action pas mal établi et avis google insérés manuellement, les images ne sont pas assez parlant, les balises hn et la metadescription pas bien optimisées",2026-08-24T21:02:00+02:00,moctar
crawl_20260826155951_999957,5a83d553c1953bee,2026-08-26T15:59:51.999942+00:00,215c2dc47f6406a44e76ae055ac084e41d9938d2a783cd129a189f5ca4e0e37b,https://www.lageneraledetheatre.com/,www.lageneraledetheatre.com,intermediate_candidate,NORMAL,1059772,200,297.48,1,True,22,4,True,90,13,1,2,0,0,0,0,3,220,1324,159,0.7227272727272728,15,7,0,0,8,0.4666666666666667,37,27,3,0,0,0,0.7297297297297297,True,False,True,True,0,0,1,1,1,3,POOR,"le site n'est pas assez informatif et descriptif à l'acceuil, le titre, la metadescription, maillage interne, externe très faible, visuellement pas assez attrayant et captivant, je donnerais une note de 10/100",2026-08-24T21:02:00+02:00,moctar
crawl_20260826155952_343864,c03d781fcd9467ee,2026-08-26T15:59:52.343851+00:00,bafd626b296e096ea1563f1bcfa17cddb77b11e0b3d53e11810b85e1e3da45fc,https://l-artisanat-a-la-francaise.fr/,l-artisanat-a-la-francaise.fr,intermediate_candidate,NORMAL,389260,200,1008.06,0,True,57,9,True,154,21,1,47,1,1,1,2,53,1877,11958,727,0.3873201917954182,62,42,2,2,18,0.6774193548387096,202,193,9,3,0,0,0.9554455445544554,True,True,True,True,0,0,6,0,0,7,AVERAGE,"le site est moderne et dynamique, bien structuré avec un menu bien fourni et optimisé, presence d'avis google verifiable, images professionnelles et bonne description, manque d'avis et de commentaires sur les pages produits, bon maillage interne mais pas assez de maillage externe",2026-08-24T21:02:00+02:00,moctar
crawl_20260826155953_426220,7d20958e98ee023b,2026-08-26T15:59:53.426200+00:00,ee63bc3ddeb57bf8c18b0825c110f3b81294f29dd9d98eb4506f012aecccf2dc,https://www.abondance.com/,www.abondance.com,rich_candidate,NORMAL,665458,200,1158.64,1,True,61,9,True,162,25,0,38,41,0,0,0,79,5128,31188,1482,0.2890015600624025,82,78,0,0,4,0.951219512195122,326,280,46,0,0,0,0.8588957055214724,True,True,True,True,0,0,9,0,0,10,GOOD,"le site est bien fourni et réguliérement animé avec des balises hn, metadescription, maillage interne et externe, call to action, popup, image alt ... bien établis je noterais 90/100",2026-08-24T21:02:00+02:00,moctar
